Time,Extension,Force,Strain 1
"0.90000","0.02969","0.76618","-0.0013"
"0.91000","0.03006","0.76729","-0.0013"
"0.92000","0.03050","0.73963","-0.0013"
"0.93000","0.03094","0.83503","-0.0026"
"0.94000","0.03137","0.82220","-0.0026"
"0.95000","0.03175","0.71197","-0.0026"
"0.96000","0.03219","0.65364","-0.0013"
"0.97000","0.03262","0.60183","-0.0013"
"0.98000","0.03306","0.52031","-0.0013"
"0.99000","0.03344","0.48298","-0.0013"
"1.00000","0.03381","0.47316","-0.0013"
"1.01000","0.03406","0.45106","-0.0013"
"1.02000","0.03431","0.34313","-0.0013"
"1.03000","0.03450","0.22733","-0.0013"
"1.04000","0.03469","0.20273","-0.0013"
"1.05000","0.03494","0.33712","-0.0013"
"1.06000","0.03512","0.40185","-0.0013"
"1.07000","0.03544","0.46068","-0.0013"
"1.08000","0.03575","0.56405","-0.0013"
"1.09000","0.03606","0.63205","-0.0013"
"1.10000","0.03650","0.69859","-0.0026"
"1.11000","0.03694","0.70906","-0.0026"
"1.12000","0.03737","0.68205","-0.0026"
"1.13000","0.03787","0.60805","-0.0026"
"1.14000","0.03825","0.65900","-0.0026"
"1.15000","0.03869","0.56996","-0.0026"
"1.16000","0.03906","0.52853","-0.0026"
"1.17000","0.03937","0.49671","-0.0026"
"1.18000","0.03969","0.46920","-0.0026"
"1.19000","0.03987","0.52667","-0.0026"
"1.20000","0.04012","0.56029","-0.0026"
"1.21000","0.04031","0.50568","-0.0026"
"1.22000","0.04056","0.42315","-0.0013"
"1.23000","0.04081","0.33416","-0.0013"
"1.24000","0.04106","0.33336","-0.0013"
"1.25000","0.04137","0.47155","-0.0013"
"1.26000","0.04175","0.60519","-0.0013"
"1.27000","0.04212","0.56490","-0.0013"
"1.28000","0.04256","0.53178","-0.0013"
"1.29000","0.04300","0.53449","-0.0013"
"1.30000","0.04337","0.41503","-0.0013"
"1.31000","0.04381","0.24672","-0.0013"
"1.32000","0.04419","0.29668","-0.0013"
"1.33000","0.04462","0.26892","-0.0013"
"1.34000","0.04500","0.24437","-0.0013"
"1.35000","0.04544","0.28029","-0.0013"
"1.36000","0.04581","0.28916","-0.0013"
"1.37000","0.04606","0.22472","-0.0026"
"1.38000","0.04631","0.29999","-0.0026"
"1.39000","0.04650","0.38697","-0.0026"
"1.40000","0.04669","0.54090","-0.0026"
"1.41000","0.04687","0.53283","-0.0026"
"1.42000","0.04712","0.47266","-0.0026"
"1.43000","0.04737","0.41208","-0.0026"
"1.44000","0.04775","0.34443","-0.0026"
"1.45000","0.04812","0.32674","-0.0026"
"1.46000","0.04856","0.25599","-0.0026"
"1.47000","0.04900","0.21776","-0.0026"
"1.48000","0.04950","0.19371","-0.0026"
"1.49000","0.04994","0.21726","-0.0039"
"1.50000","0.05037","0.28320","-0.0039"
"1.51000","0.05075","0.40251","-0.0039"
"1.52000","0.05112","0.41102","-0.0039"
"1.53000","0.05144","0.38141","-0.0039"
"1.54000","0.05169","0.40937","-0.0039"
"1.55000","0.05187","0.44730","-0.0039"
"1.56000","0.05206","0.47205","-0.0039"
"1.57000","0.05225","0.54145","-0.0039"
"1.58000","0.05250","0.53719","-0.0039"
"1.59000","0.05275","0.48598","-0.0039"
"1.60000","0.05306","0.45973","-0.0039"
"1.61000","0.05344","0.45812","-0.0039"
"1.62000","0.05375","0.37039","-0.0039"
"1.63000","0.05419","0.18995","-0.0039"
"1.64000","0.05462","0.19571","-0.0039"
"1.65000","0.05500","0.31422","-0.0039"
"1.66000","0.05544","0.44981","-0.0039"
"1.67000","0.05581","0.47777","-0.0039"
"1.68000","0.05625","0.51089","-0.0039"
"1.69000","0.05669","0.60238","-0.0039"
"1.70000","0.05706","0.50202","-0.0039"
"1.71000","0.05750","0.31352","-0.0039"
"1.72000","0.05781","0.26296","-0.0039"
"1.73000","0.05806","0.30615","-0.0039"
"1.74000","0.05825","0.31772","-0.0039"
"1.75000","0.05844","0.37470","-0.0052"
"1.76000","0.05869","0.34077","-0.0052"
"1.77000","0.05887","0.29928","-0.0039"
"1.78000","0.05912","0.24542","-0.0039"
"1.79000","0.05944","0.35200","-0.0039"
"1.80000","0.05981","0.44084","-0.0039"
"1.81000","0.06019","0.44074","-0.0039"
"1.82000","0.06062","0.36172","-0.0039"
"1.83000","0.06106","0.32985","-0.0039"
"1.84000","0.06150","0.36778","-0.0039"
"1.85000","0.06194","0.44600","-0.0039"
"1.86000","0.06237","0.45316","-0.0039"
"1.87000","0.06275","0.36477","-0.0039"
"1.88000","0.06306","0.42731","-0.0039"
"1.89000","0.06337","0.47837","-0.0039"
"1.90000","0.06362","0.52677","-0.0039"
"1.91000","0.06387","0.48168","-0.0039"
"1.92000","0.06406","0.41769","-0.0039"
"1.93000","0.06425","0.38061","-0.0039"
"1.94000","0.06450","0.30775","-0.0039"
"1.95000","0.06475","0.34624","-0.0039"
"1.96000","0.06506","0.30460","-0.0039"
"1.97000","0.06544","0.25198","-0.0039"
"1.98000","0.06581","0.29362","-0.0039"
"1.99000","0.06625","0.30800","-0.0039"
"2.00000","0.06662","0.35535","-0.0039"
"2.01000","0.06706","0.42566","-0.0039"
"2.02000","0.06744","0.42791","-0.0039"
"2.03000","0.06787","0.52742","-0.0039"
"2.04000","0.06825","0.58625","-0.0039"
"2.05000","0.06869","0.55238","-0.0039"
"2.06000","0.06912","0.48253","-0.0039"
"2.07000","0.06950","0.38201","-0.0039"
"2.08000","0.06981","0.36257","-0.0052"
"2.09000","0.07006","0.38933","-0.0052"
"2.10000","0.07025","0.45537","-0.0052"
"2.11000","0.07044","0.31226","-0.0052"
"2.12000","0.07062","0.24081","-0.0052"
"2.13000","0.07087","0.24767","-0.0052"
"2.14000","0.07112","0.22918","-0.0052"
"2.15000","0.07144","0.20293","-0.0052"
"2.16000","0.07175","0.25419","-0.0052"
"2.17000","0.07219","0.38722","-0.0052"
"2.18000","0.07262","0.52367","-0.0052"
"2.19000","0.07306","0.51344","-0.0052"
"2.20000","0.07350","0.47476","-0.0052"
"2.21000","0.07394","0.36538","-0.0052"
"2.22000","0.07431","0.41989","-0.0052"
"2.23000","0.07469","0.55899","-0.0052"
"2.24000","0.07506","0.68235","-0.0052"
"2.25000","0.07531","0.58790","-0.0052"
"2.26000","0.07556","0.52472","-0.0052"
"2.27000","0.07581","0.55102","-0.0052"
"2.28000","0.07600","0.57307","-0.0052"
"2.29000","0.07625","0.51885","-0.0052"
"2.30000","0.07650","0.53659","-0.0052"
"2.31000","0.07675","0.50252","-0.0052"
"2.32000","0.07712","0.44304","-0.0052"
"2.33000","0.07744","0.32744","-0.0052"
"2.34000","0.07781","0.44605","-0.0052"
"2.35000","0.07825","0.47867","-0.0052"
"2.36000","0.07862","0.63160","-0.0052"
"2.37000","0.07906","0.72500","-0.0052"
"2.38000","0.07944","0.63891","-0.0052"
"2.39000","0.07987","0.53013","-0.0052"
"2.40000","0.08025","0.33636","-0.0052"
"2.41000","0.08069","0.26451","-0.0052"
"2.42000","0.08112","0.32599","-0.0039"
"2.43000","0.08144","0.51209","-0.0039"
"2.44000","0.08175","0.61451","-0.0039"
"2.45000","0.08200","0.52697","-0.0039"
"2.46000","0.08219","0.35951","-0.0039"
"2.47000","0.08237","0.26651","-0.0039"
"2.48000","0.08256","0.32674","-0.0039"
"2.49000","0.08281","0.45397","-0.0039"
"2.50000","0.08306","0.61962","-0.0039"
"2.51000","0.08337","0.62979","-0.0039"
"2.52000","0.08375","0.56771","-0.0039"
"2.53000","0.08419","0.45948","-0.0039"
"2.54000","0.08456","0.40301","-0.0039"
"2.55000","0.08506","0.47927","-0.0039"
"2.56000","0.08550","0.51214","-0.0039"
"2.57000","0.08594","0.50392","-0.0039"
"2.58000","0.08631","0.46669","-0.0052"
"2.59000","0.08669","0.37234","-0.0052"
"2.60000","0.08706","0.27443","-0.0052"
"2.61000","0.08731","0.18153","-0.0052"
"2.62000","0.08756","0.04559","-0.0052"
"2.63000","0.08775","0.08097","-0.0052"
"2.64000","0.08794","0.26641","-0.0052"
"2.65000","0.08819","0.34764","-0.0066"
"2.66000","0.08844","0.40496","-0.0066"
"2.67000","0.08869","0.43382","-0.0066"
"2.68000","0.08906","0.41979","-0.0066"
"2.69000","0.08937","0.49180","-0.0066"
"2.70000","0.08981","0.48443","-0.0066"
"2.71000","0.09019","0.43167","-0.0066"
"2.72000","0.09062","0.40827","-0.0066"
"2.73000","0.09106","0.50823","-0.0079"
"2.74000","0.09144","0.52577","-0.0079"
"2.75000","0.09187","0.44615","-0.0079"
"2.76000","0.09231","0.50262","-0.0079"
"2.77000","0.09275","0.50112","-0.0079"
"2.78000","0.09312","0.54271","-0.0079"
"2.79000","0.09350","0.53654","-0.0079"
"2.80000","0.09375","0.42666","-0.0079"
"2.81000","0.09394","0.27468","-0.0079"
"2.82000","0.09412","0.30289","-0.0092"
"2.83000","0.09437","0.38502","-0.0092"
"2.84000","0.09456","0.42606","-0.0092"
"2.85000","0.09481","0.40847","-0.0092"
"2.86000","0.09506","0.34744","-0.0092"
"2.87000","0.09544","0.15868","-0.0092"
"2.88000","0.09581","0.13513","-0.0092"
"2.89000","0.09619","0.19321","-0.0092"
"2.90000","0.09662","0.39659","-0.0092"
"2.91000","0.09706","0.57974","-0.0092"
"2.92000","0.09750","0.67093","-0.0092"
"2.93000","0.09794","0.69177","-0.0105"
"2.94000","0.09837","0.60664","-0.0105"
"2.95000","0.09869","0.52652","-0.0105"
"2.96000","0.09900","0.50543","-0.0092"
"2.97000","0.09931","0.48268","-0.0092"
"2.98000","0.09956","0.52241","-0.0092"
"2.99000","0.09975","0.60098","-0.0092"
"3.00000","0.09994","0.63901","-0.0092"
"3.01000","0.10019","0.59642","-0.0092"
"3.02000","0.10044","0.59727","-0.0092"
"3.03000","0.10075","0.55243","-0.0092"
"3.04000","0.10112","0.38311","-0.0092"
"3.05000","0.10150","0.27383","-0.0092"
"3.06000","0.10187","0.17196","-0.0092"
"3.07000","0.10225","0.21270","-0.0092"
"3.08000","0.10269","0.18579","-0.0092"
"3.09000","0.10306","0.29538","-0.0092"
"3.10000","0.10350","0.41303","-0.0092"
"3.11000","0.10394","0.53419","-0.0092"
"3.12000","0.10437","0.59457","-0.0092"
"3.13000","0.10481","0.61466","-0.0092"
"3.14000","0.10519","0.63485","-0.0092"
"3.15000","0.10550","0.63836","-0.0092"
"3.16000","0.10575","0.66557","-0.0092"
"3.17000","0.10594","0.70776","-0.0092"
"3.18000","0.10612","0.66752","-0.0092"
"3.19000","0.10631","0.51329","-0.0079"
"3.20000","0.10650","0.45031","-0.0079"
"3.21000","0.10675","0.45076","-0.0079"
"3.22000","0.10706","0.41072","-0.0079"
"3.23000","0.10744","0.32975","-0.0079"
"3.24000","0.10781","0.20839","-0.0079"
"3.25000","0.10825","0.21390","-0.0092"
"3.26000","0.10869","0.13759","-0.0092"
"3.27000","0.10912","0.11284","-0.0092"
"3.28000","0.10956","0.13097","-0.0079"
"3.29000","0.11000","0.20944","-0.0079"
"3.30000","0.11037","0.37059","-0.0079"
"3.31000","0.11075","0.56861","-0.0079"
"3.32000","0.11100","0.76649","-0.0079"
"3.33000","0.11131","0.78412","-0.0066"
"3.34000","0.11150","0.64507","-0.0066"
"3.35000","0.11175","0.60815","-0.0066"
"3.36000","0.11194","0.53454","-0.0066"
"3.37000","0.11219","0.42280","-0.0052"
"3.38000","0.11244","0.37961","-0.0052"
"3.39000","0.11281","0.45372","-0.0052"
"3.40000","0.11312","0.43713","-0.0039"
"3.41000","0.11350","0.45452","-0.0052"
"3.42000","0.11387","0.37580","-0.0052"
"3.43000","0.11431","0.30510","-0.0052"
"3.44000","0.11469","0.33747","-0.0052"
"3.45000","0.11512","0.50838","-0.0066"
"3.46000","0.11550","0.59462","-0.0052"
"3.47000","0.11594","0.57172","-0.0052"
"3.48000","0.11637","0.41879","-0.0066"
"3.49000","0.11675","0.28185","-0.0066"
"3.50000","0.11712","0.27438","-0.0066"
"3.51000","0.11744","0.28751","-0.0066"
"3.52000","0.11769","0.26431","-0.0066"
"3.53000","0.11787","0.08437","-0.0066"
"3.54000","0.11806","-0.07737","-0.0066"
"3.55000","0.11825","-0.09842","-0.0066"
"3.56000","0.11850","0.02104","-0.0066"
"3.57000","0.11875","0.27213","-0.0079"
"3.58000","0.11906","0.46890","-0.0066"
"3.59000","0.11937","0.51916","-0.0066"
"3.60000","0.11981","0.52356","-0.0066"
"3.61000","0.12025","0.50247","-0.0066"
"3.62000","0.12069","0.45136","-0.0079"
"3.63000","0.12119","0.45662","-0.0079"
"3.64000","0.12162","0.42636","-0.0079"
"3.65000","0.12200","0.38402","-0.0079"
"3.66000","0.12237","0.38321","-0.0079"
"3.67000","0.12275","0.47296","-0.0079"
"3.68000","0.12300","0.62142","-0.0079"
"3.69000","0.12325","0.71989","-0.0079"
"3.70000","0.12350","0.64057","-0.0079"
"3.71000","0.12369","0.42505","-0.0092"
"3.72000","0.12387","0.27383","-0.0092"
"3.73000","0.12412","0.19376","-0.0092"
"3.74000","0.12444","0.25268","-0.0092"
"3.75000","0.12475","0.46614","-0.0092"
"3.76000","0.12506","0.54296","-0.0092"
"3.77000","0.12550","0.51445","-0.0092"
"3.78000","0.12587","0.47130","-0.0092"
"3.79000","0.12631","0.36227","-0.0092"
"3.80000","0.12669","0.31051","-0.0092"
"3.81000","0.12712","0.29573","-0.0092"
"3.82000","0.12750","0.18334","-0.0092"
"3.83000","0.12794","0.10537","-0.0092"
"3.84000","0.12837","0.08738","-0.0092"
"3.85000","0.12875","0.09820","-0.0092"
"3.86000","0.12912","0.25780","-0.0092"
"3.87000","0.12944","0.35120","-0.0092"
"3.88000","0.12962","0.32674","-0.0092"
"3.89000","0.12981","0.35140","-0.0079"
"3.90000","0.13006","0.36813","-0.0079"
"3.91000","0.13025","0.38667","-0.0079"
"3.92000","0.13050","0.39880","-0.0079"
"3.93000","0.13075","0.43167","-0.0079"
"3.94000","0.13112","0.35245","-0.0079"
"3.95000","0.13150","0.32068","-0.0092"
"3.96000","0.13187","0.20473","-0.0092"
"3.97000","0.13231","0.11369","-0.0092"
"3.98000","0.13275","0.19722","-0.0092"
"3.99000","0.13319","0.15077","-0.0092"
"4.00000","0.13362","0.12882","-0.0092"
"4.01000","0.13400","0.14340","-0.0092"
"4.02000","0.13437","0.23875","-0.0092"
"4.03000","0.13469","0.43202","-0.0092"
"4.04000","0.13494","0.49831","-0.0092"
"4.05000","0.13519","0.49966","-0.0092"
"4.06000","0.13544","0.45522","-0.0105"
"4.07000","0.13562","0.42736","-0.0105"
"4.08000","0.13587","0.40777","-0.0105"
"4.09000","0.13612","0.21986","-0.0105"
"4.10000","0.13637","0.13959","-0.0105"
"4.11000","0.13675","0.14686","-0.0092"
"4.12000","0.13706","0.19782","-0.0105"
"4.13000","0.13750","0.23490","-0.0105"
"4.14000","0.13787","0.30309","-0.0105"
"4.15000","0.13831","0.45787","-0.0105"
"4.16000","0.13875","0.70591","-0.0105"
"4.17000","0.13912","0.84976","-0.0105"
"4.18000","0.13956","0.75526","-0.0105"
"4.19000","0.14000","0.56956","-0.0105"
"4.20000","0.14044","0.43538","-0.0105"
"4.21000","0.14081","0.23339","-0.0105"
"4.22000","0.14112","0.28826","-0.0105"
"4.23000","0.14144","0.48283","-0.0105"
"4.24000","0.14162","0.55924","-0.0092"
"4.25000","0.14181","0.59031","-0.0092"
"4.26000","0.14200","0.63230","-0.0092"
"4.27000","0.14225","0.65480","-0.0092"
"4.28000","0.14250","0.71057","-0.0092"
"4.29000","0.14275","0.79104","-0.0092"
"4.30000","0.14312","0.72209","-0.0092"
"4.31000","0.14350","0.47090","-0.0092"
"4.32000","0.14387","0.25404","-0.0092"
"4.33000","0.14431","0.11058","-0.0092"
"4.34000","0.14475","0.16024","-0.0092"
"4.35000","0.14519","0.36272","-0.0092"
"4.36000","0.14562","0.41293","-0.0092"
"4.37000","0.14600","0.43783","-0.0092"
"4.38000","0.14637","0.51946","-0.0092"
"4.39000","0.14662","0.51515","-0.0092"
"4.40000","0.14694","0.51820","-0.0092"
"4.41000","0.14712","0.48323","-0.0092"
"4.42000","0.14737","0.46880","-0.0092"
"4.43000","0.14756","0.60233","-0.0092"
"4.44000","0.14781","0.62974","-0.0092"
"4.45000","0.14806","0.53679","-0.0092"
"4.46000","0.14837","0.42606","-0.0092"
"4.47000","0.14875","0.30500","-0.0092"
"4.48000","0.14906","0.21445","-0.0092"
"4.49000","0.14950","0.20779","-0.0092"
"4.50000","0.14987","0.32364","-0.0079"
"4.51000","0.15031","0.39875","-0.0079"
"4.52000","0.15075","0.37274","-0.0079"
"4.53000","0.15112","0.41894","-0.0079"
"4.54000","0.15156","0.34964","-0.0092"
"4.55000","0.15200","0.41193","-0.0092"
"4.56000","0.15237","0.49105","-0.0079"
"4.57000","0.15281","0.50232","-0.0079"
"4.58000","0.15312","0.56581","-0.0079"
"4.59000","0.15337","0.61035","-0.0079"
"4.60000","0.15356","0.59442","-0.0079"
"4.61000","0.15375","0.56455","-0.0079"
"4.62000","0.15400","0.44890","-0.0079"
"4.63000","0.15419","0.40932","-0.0079"
"4.64000","0.15450","0.42540","-0.0079"
"4.65000","0.15481","0.43528","-0.0079"
"4.66000","0.15512","0.47571","-0.0092"
"4.67000","0.15550","0.48067","-0.0092"
"4.68000","0.15594","0.45527","-0.0092"
"4.69000","0.15637","0.47987","-0.0092"
"4.70000","0.15681","0.46319","-0.0092"
"4.71000","0.15725","0.37850","-0.0092"
"4.72000","0.15762","0.27218","-0.0079"
"4.73000","0.15800","0.23710","-0.0092"
"4.74000","0.15837","0.31712","-0.0079"
"4.75000","0.15862","0.40346","-0.0079"
"4.76000","0.15887","0.46940","-0.0079"
"4.77000","0.15912","0.51389","-0.0079"
"4.78000","0.15931","0.41744","-0.0079"
"4.79000","0.15956","0.41117","-0.0079"
"4.80000","0.15981","0.38316","-0.0079"
"4.81000","0.16006","0.44720","-0.0079"
"4.82000","0.16037","0.47451","-0.0079"
"4.83000","0.16075","0.49180","-0.0079"
"4.84000","0.16112","0.50192","-0.0066"
"4.85000","0.16150","0.38221","-0.0066"
"4.86000","0.16194","0.31647","-0.0066"
"4.87000","0.16231","0.44054","-0.0066"
"4.88000","0.16275","0.54651","-0.0066"
"4.89000","0.16312","0.60349","-0.0066"
"4.90000","0.16356","0.65895","-0.0066"
"4.91000","0.16400","0.58024","-0.0066"
"4.92000","0.16444","0.51379","-0.0066"
"4.93000","0.16481","0.50457","-0.0066"
"4.94000","0.16512","0.52447","-0.0066"
"4.95000","0.16531","0.55393","-0.0079"
"4.96000","0.16556","0.53023","-0.0079"
"4.97000","0.16575","0.58199","-0.0079"
"4.98000","0.16594","0.62754","-0.0079"
"4.99000","0.16619","0.58169","-0.0079"
"5.00000","0.16644","0.56019","-0.0079"
"5.01000","0.16681","0.46529","-0.0079"
"5.02000","0.16712","0.35616","-0.0079"
"5.03000","0.16756","0.31697","-0.0079"
"5.04000","0.16794","0.35325","-0.0079"
"5.05000","0.16837","0.42576","-0.0079"
"5.06000","0.16881","0.42560","-0.0079"
"5.07000","0.16919","0.36959","-0.0079"
"5.08000","0.16962","0.43157","-0.0079"
"5.09000","0.16994","0.54712","-0.0079"
"5.10000","0.17031","0.57157","-0.0079"
"5.11000","0.17056","0.55603","-0.0079"
"5.12000","0.17087","0.63059","-0.0079"
"5.13000","0.17106","0.65409","-0.0079"
"5.14000","0.17131","0.63225","-0.0079"
"5.15000","0.17156","0.69102","-0.0079"
"5.16000","0.17181","0.83764","-0.0079"
"5.17000","0.17206","0.91130","-0.0079"
"5.18000","0.17237","0.78563","-0.0079"
"5.19000","0.17275","0.62674","-0.0079"
"5.20000","0.17312","0.46108","-0.0079"
"5.21000","0.17356","0.39053","-0.0079"
"5.22000","0.17400","0.40160","-0.0079"
"5.23000","0.17437","0.35100","-0.0079"
"5.24000","0.17481","0.39950","-0.0079"
"5.25000","0.17525","0.47822","-0.0079"
"5.26000","0.17569","0.48248","-0.0079"
"5.27000","0.17612","0.38883","-0.0079"
"5.28000","0.17650","0.34849","-0.0079"
"5.29000","0.17687","0.31422","-0.0079"
"5.30000","0.17712","0.42596","-0.0079"
"5.31000","0.17731","0.44705","-0.0079"
"5.32000","0.17750","0.39865","-0.0079"
"5.33000","0.17769","0.38767","-0.0079"
"5.34000","0.17787","0.31782","-0.0079"
"5.35000","0.17812","0.36974","-0.0079"
"5.36000","0.17844","0.35991","-0.0079"
"5.37000","0.17881","0.39058","-0.0079"
"5.38000","0.17919","0.44605","-0.0079"
"5.39000","0.17956","0.40857","-0.0079"
"5.40000","0.18000","0.33536","-0.0066"
"5.41000","0.18044","0.16480","-0.0066"
"5.42000","0.18087","0.11965","-0.0066"
"5.43000","0.18125","0.24988","-0.0066"
"5.44000","0.18169","0.29267","-0.0066"
"5.45000","0.18200","0.34714","-0.0066"
"5.46000","0.18231","0.45477","-0.0066"
"5.47000","0.18262","0.51700","-0.0066"
"5.48000","0.18287","0.50888","-0.0066"
"5.49000","0.18306","0.47321","-0.0066"
"5.50000","0.18331","0.36006","-0.0066"
"5.51000","0.18350","0.23354","-0.0066"
"5.52000","0.18375","0.20448","-0.0066"
"5.53000","0.18406","0.16084","-0.0066"
"5.54000","0.18444","0.19231","-0.0052"
"5.55000","0.18481","0.35686","-0.0052"
"5.56000","0.18519","0.38467","-0.0052"
"5.57000","0.18562","0.51039","-0.0052"
"5.58000","0.18600","0.56651","-0.0052"
"5.59000","0.18644","0.50047","-0.0052"
"5.60000","0.18687","0.46619","-0.0052"
"5.61000","0.18725","0.30750","-0.0052"
"5.62000","0.18769","0.12526","-0.0052"
"5.63000","0.18812","0.08818","-0.0052"
"5.64000","0.18850","0.13954","-0.0052"
"5.65000","0.18881","0.17903","-0.0052"
"5.66000","0.18906","0.36533","-0.0052"
"5.67000","0.18925","0.64112","-0.0052"
"5.68000","0.18944","0.79319","-0.0052"
"5.69000","0.18962","0.77240","-0.0052"
"5.70000","0.18987","0.70971","-0.0052"
"5.71000","0.19012","0.64302","-0.0052"
"5.72000","0.19044","0.57127","-0.0052"
"5.73000","0.19081","0.48017","-0.0052"
"5.74000","0.19119","0.46248","-0.0052"
"5.75000","0.19156","0.55994","-0.0052"
"5.76000","0.19200","0.62754","-0.0052"
"5.77000","0.19244","0.57853","-0.0052"
"5.78000","0.19287","0.52071","-0.0052"
"5.79000","0.19325","0.45261","-0.0052"
"5.80000","0.19369","0.39885","-0.0052"
"5.81000","0.19400","0.44224","-0.0052"
"5.82000","0.19431","0.47486","-0.0052"
"5.83000","0.19462","0.47241","-0.0052"
"5.84000","0.19481","0.59021","-0.0052"
"5.85000","0.19506","0.60193","-0.0052"
"5.86000","0.19525","0.62583","-0.0039"
"5.87000","0.19550","0.68927","-0.0052"
"5.88000","0.19575","0.72745","-0.0052"
"5.89000","0.19606","0.64292","-0.0052"
"5.90000","0.19644","0.48268","-0.0052"
"5.91000","0.19681","0.34268","-0.0052"
"5.92000","0.19719","0.19737","-0.0052"
"5.93000","0.19762","0.18975","-0.0052"
"5.94000","0.19800","0.24838","-0.0052"
"5.95000","0.19844","0.39614","-0.0039"
"5.96000","0.19881","0.60208","-0.0039"
"5.97000","0.19925","0.65880","-0.0039"
"5.98000","0.19969","0.68882","-0.0039"
"5.99000","0.20012","0.69999","-0.0039"
"6.00000","0.20050","0.74088","-0.0039"
"6.01000","0.20081","0.67930","-0.0039"
"6.02000","0.20100","0.64442","-0.0039"
"6.03000","0.20125","0.67624","-0.0039"
"6.04000","0.20144","0.72269","-0.0039"
"6.05000","0.20162","0.65535","-0.0039"
"6.06000","0.20187","0.56105","-0.0039"
"6.07000","0.20212","0.51595","-0.0039"
